index,name,age,height,nationality,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
1491,Jeroen Zoet,32,1.89,Netherlands,0.5,12.5,Goalkeeper,1,right,Spezia Calcio,2024-06-30,2020-09-08,Key United,,Other
1492,Petar Zovko,21,1.92,Bosnia-Herzegovina,0.1,0.1,Goalkeeper,40,left,Spezia Calcio,2024-06-30,2021-07-12,PRO TRANSFER,,Other
1493,Federico Marchetti,40,1.88,Italy,0.05,13.0,Goalkeeper,22,left,Spezia Calcio,2023-06-30,2023-01-21,Gea World,,Other
1494,Ethan Ampadu,22,1.83,Wales England,9.0,15.0,Defender - Centre-Back,4,right,Spezia Calcio,2023-06-30,2022-09-01,Platinum One Group,,Other
1495,Dimitrios Nikolaou,24,1.88,Greece,3.8,4.0,Defender - Centre-Back,43,left,Spezia Calcio,2026-06-30,2021-08-09,LIAN Sports Group,,Other
1496,Przemyslaw Wisniewski,24,1.95,Poland,3.0,3.0,Defender - Centre-Back,55,right,Spezia Calcio,2027-06-30,2023-01-25,INNfootball,,Other
1497,Mattia Caldara,29,1.87,Italy,2.5,25.0,Defender - Centre-Back,29,right,Spezia Calcio,2023-06-30,2022-07-17,Gr Sports,,Other
1498,Arkadiusz Reca,27,1.87,Poland,3.0,4.0,Defender - Left-Back,13,left,Spezia Calcio,2025-06-30,2022-07-01,topgoal sports ...,Nike,Other
1499,João Moutinho,25,1.83,Portugal,1.5,1.5,Defender - Left-Back,5,left,Spezia Calcio,2026-06-30,2023-01-02,Proeleven S.A.,,Other
1500,Emil Holm,23,1.91,Sweden,5.0,5.0,Defender - Right-Back,2,right,Spezia Calcio,2026-06-30,2021-08-26,Global Soccer ...,,Other
1501,Kelvin Amian,25,1.8,France Cote d'Ivoire,3.5,7.0,Defender - Right-Back,27,right,Spezia Calcio,2026-06-30,2021-07-22,Classico,,Other
1502,Salva Ferrer,25,1.84,Spain,1.0,1.3,Defender - Right-Back,21,right,Spezia Calcio,2025-06-30,2019-08-09,MSSports,,Other
1503,Salvatore Esposito,22,1.78,Italy,3.5,3.5,midfield - Defensive Midfield,25,right,Spezia Calcio,2023-06-30,2023-01-06,M.A.R.A.T. Football ...,Nike,Other
1504,Mehdi Bourabia,31,1.83,Morocco France,1.3,4.0,midfield - Defensive Midfield,6,right,Spezia Calcio,2024-06-30,2022-07-01,Excellence Sport,,Other
1505,Albin Ekdal,33,1.86,Sweden,0.8,5.0,midfield - Defensive Midfield,8,right,Spezia Calcio,2024-06-30,2022-07-13,MD Management,,Other
1506,Simone Bastoni,26,1.81,Italy,7.5,7.5,midfield - Central Midfield,20,left,Spezia Calcio,2025-06-30,2014-07-01,Italian Managers ...,Puma,Other
1507,Szymon Zurkowski,25,1.85,Poland,4.5,7.0,midfield - Central Midfield,77,right,Spezia Calcio,2023-06-30,2023-01-12,KFM,Nike,Other
1508,Jacopo Sala,31,1.81,Italy,0.5,2.5,midfield - Central Midfield,7,right,Spezia Calcio,2024-06-30,2020-09-05,,,Other
1509,Tio Cipot,20,1.84,Slovenia,0.5,0.5,midfield - Central Midfield,72,right,Spezia Calcio,2027-06-30,2023-01-19,AR Sport Management,,Other
1510,Julius Beck,18,1.78,Denmark,0.25,0.25,midfield - Central Midfield,16,right,Spezia Calcio,2024-06-30,2022-08-01,Beckster Int.,,Other
1511,Kevin Agudelo,24,1.78,Colombia,3.5,3.5,midfield - Attacking Midfield,33,left,Spezia Calcio,2026-06-30,2022-07-01,GG11,,Other
1512,Viktor Kovalenko,27,1.82,Ukraine,2.0,6.0,midfield - Attacking Midfield,24,right,Spezia Calcio,2023-06-30,2022-08-02,ProStar,,Other
1513,Daniel Maldini,21,1.88,Italy Venezuela,2.0,2.0,midfield - Attacking Midfield,30,right,Spezia Calcio,2023-06-30,2022-07-29,Gr Sports,,Other
1514,Emmanuel Gyasi,29,1.81,Ghana Italy,2.5,2.5,Attack - Left Winger,11,right,Spezia Calcio,2025-06-30,2016-08-09,,,Other
1515,Daniele Verde,26,1.68,Italy,4.0,5.0,Attack - Right Winger,10,left,Spezia Calcio,2025-06-30,2021-07-01,Luigi Lauro SBM srl,,Other
1516,Eldor Shomurodov,27,1.9,Uzbekistan,7.0,14.0,Attack - Centre-Forward,14,right,Spezia Calcio,2023-06-30,2023-01-30,prosm,,Other
1517,M'Bala Nzola,26,1.85,Angola France,6.5,6.5,Attack - Centre-Forward,18,left,Spezia Calcio,2026-06-30,2020-10-07,Relatives,adidas,Other
1518,Raimonds Krollis,21,1.86,Latvia,2.5,2.5,Attack - Centre-Forward,19,left,Spezia Calcio,2026-06-30,2023-01-20,Beckster Int.,,Other
1519,Lorenzo Montipò,27,1.91,Italy,4.0,4.5,Goalkeeper,1,right,Hellas Verona,2025-06-30,2022-07-01,Alberto Jimmy ...,,SerieA
1520,Simone Perilli,28,1.95,Italy,0.2,0.3,Goalkeeper,34,right,Hellas Verona,2024-06-30,2022-08-03,no agent,,SerieA
1521,Alessandro Berardi,32,1.85,Italy,0.05,0.2,Goalkeeper,22,right,Hellas Verona,2025-06-30,2018-12-14,SP GROUP,,SerieA
1522,Isak Hien,24,1.91,Sweden Burkina Faso,6.0,6.0,Defender - Centre-Back,6,right,Hellas Verona,2026-06-30,2022-08-27,BHM Sports Agency,,SerieA
1523,Pawel Dawidowicz,27,1.89,Poland,3.5,5.0,Defender - Centre-Back,27,both,Hellas Verona,2025-06-30,2019-07-01,INNfootball,Nike,SerieA
1524,Federico Ceccherini,31,1.87,Italy,3.0,4.0,Defender - Centre-Back,17,right,Hellas Verona,2024-06-30,2021-07-01,P&P Sport ...,,SerieA
1525,Giangiacomo Magnani,27,1.91,Italy,3.0,5.0,Defender - Centre-Back,23,right,Hellas Verona,2025-06-30,2021-07-01,TMP SOCCER srl,,SerieA
1526,Diego Coppola,19,1.92,Italy Netherlands,3.0,3.0,Defender - Centre-Back,42,right,Hellas Verona,2027-06-30,2022-01-01,CAA Base Ltd,,SerieA
1527,Juan Cabal,22,1.86,Colombia,2.5,2.5,Defender - Centre-Back,32,left,Hellas Verona,2027-06-30,2022-08-20,VIDA 11,,SerieA
1528,Josh Doig,20,1.89,Scotland,10.0,10.0,Defender - Left-Back,3,left,Hellas Verona,2026-06-30,2022-07-13,PLG,,SerieA
1529,Davide Faraoni,31,1.8,Italy,3.5,7.0,Defender - Right-Back,5,right,Hellas Verona,2025-06-30,2019-07-01,M.A.R.A.T. Football ...,Nike,SerieA
1530,Fabio Depaoli,26,1.82,Italy,3.0,5.0,Defender - Right-Back,29,right,Hellas Verona,2023-06-30,2022-09-01,CAA Base Ltd,adidas,SerieA
1531,Deyovaisio Zeefuik,25,1.77,Netherlands Suriname,1.5,5.0,Defender - Right-Back,2,right,Hellas Verona,2023-06-30,2023-01-16,SEG,,SerieA
1532,Adrien Tamèze,29,1.8,Cameroon France,8.0,10.0,midfield - Defensive Midfield,61,right,Hellas Verona,2024-06-30,2020-09-03,Pedacus,,SerieA
1533,Oliver Abildgaard,26,1.92,Denmark,5.0,7.5,midfield - Defensive Midfield,28,left,Hellas Verona,2023-06-30,2023-01-31,CHJ Management,,SerieA
1534,Ibrahim Sulemana,19,1.8,Ghana,1.5,1.5,midfield - Defensive Midfield,77,right,Hellas Verona,,2022-07-01,Arthurlegacy Sports ...,,SerieA
1535,Miguel Veloso,37,1.8,Portugal,0.7,11.5,midfield - Defensive Midfield,4,left,Hellas Verona,2023-06-30,2019-07-20,Excellence Sport,,SerieA
1536,Filippo Terracciano,20,1.81,Italy,1.0,1.0,midfield - Right Midfield,24,right,Hellas Verona,2026-06-30,2022-07-01,Football Capital,,SerieA
1537,Darko Lazović,32,1.81,Serbia,2.5,5.0,midfield - Left Midfield,8,right,Hellas Verona,2024-06-30,2019-08-06,Seven Stars,adidas,SerieA
1538,Simone Verdi,30,1.74,Italy,4.5,25.0,midfield - Attacking Midfield,7,both,Hellas Verona,2023-06-30,2022-09-01,Donato Orgnoni,adidas,SerieA
1539,Ondrej Duda,28,1.81,Slovakia,4.0,17.0,midfield - Attacking Midfield,33,right,Hellas Verona,2023-06-30,2023-01-29,CAA Stellar,adidas,SerieA
1540,Ajdin Hrustic,26,1.8,Australia Bosnia-Herzegovina,1.8,3.0,midfield - Attacking Midfield,10,left,Hellas Verona,2026-06-30,2022-09-01,LIAN Sports Group,Nike,SerieA
1541,Yayah Kallon,21,1.75,Sierra Leone,1.5,2.0,Attack - Right Winger,30,left,Hellas Verona,2023-06-30,2022-08-26,,,SerieA
1542,Cyril Ngonge,22,1.79,Belgium DR Congo,1.3,1.4,Attack - Right Winger,26,left,Hellas Verona,2023-06-30,2023-01-19,DW Sports Management,Nike,SerieA
1543,Thomas Henry,28,1.91,France,4.0,5.0,Attack - Centre-Forward,9,right,Hellas Verona,2026-06-30,2022-07-16,Relatives,,SerieA
1544,Kevin Lasagna,30,1.81,Italy,2.0,8.0,Attack - Centre-Forward,11,left,Hellas Verona,2025-06-30,2021-07-01,P&P Sport ...,,SerieA
1545,Adolfo Gaich,24,1.9,Argentina Italy,1.8,12.0,Attack - Centre-Forward,38,right,Hellas Verona,2023-06-30,2023-01-30,,,SerieA
1546,Milan Djuric,32,1.99,Bosnia-Herzegovina Italy,1.0,1.5,Attack - Centre-Forward,19,right,Hellas Verona,2025-06-30,2022-07-01,OFP OMNIA FOOTBALL ...,Lotto,SerieA
1547,Jayden Braaf,20,1.8,Netherlands Suriname,1.0,3.0,Attack - Centre-Forward,25,right,Hellas Verona,2023-06-30,2023-01-16,CAA Stellar,,SerieA
1548,Emil Audero,26,1.92,Italy,6.0,15.0,Goalkeeper,1,right,Sampdoria,2026-06-30,2019-07-01,TMP SOCCER srl,Nike,SerieA
1549,Martin Turk,19,1.9,Slovenia,0.3,0.5,Goalkeeper,22,left,Sampdoria,2023-06-30,2023-01-13,Zmiya s.r.o,,SerieA
1550,Nicola Ravaglia,34,1.84,Italy,0.1,0.5,Goalkeeper,30,right,Sampdoria,2024-06-30,2020-09-01,,,SerieA
1551,Koray Günter,28,1.86,Germany Turkey,4.5,5.0,Defender - Centre-Back,4,right,Sampdoria,2023-06-30,2023-01-31,EMG Mundial,,SerieA
1552,Bruno Amione,21,1.87,Argentina Italy,2.7,2.7,Defender - Centre-Back,2,left,Sampdoria,2023-06-30,2022-09-01,Estilo 10,,SerieA
1553,Bram Nuytinck,33,1.91,Netherlands,2.0,5.0,Defender - Centre-Back,17,left,Sampdoria,2023-06-30,2023-01-02,Wasserman,,SerieA
1554,Jeison Murillo,30,1.82,Colombia Spain,2.0,18.0,Defender - Centre-Back,21,right,Sampdoria,2023-06-30,2020-01-14,,Nike,SerieA
1555,Marios Oikonomou,30,1.89,Greece,0.3,2.5,Defender - Centre-Back,5,right,Sampdoria,2023-06-30,2023-02-17,SPORTS CONNECTION,,SerieA
1556,Tommaso Augello,28,1.8,Italy,2.5,4.0,Defender - Left-Back,3,left,Sampdoria,2025-06-30,2020-09-01,Italian Managers ...,,SerieA
1557,Nicola Murru,28,1.8,Italy,1.6,7.0,Defender - Left-Back,29,left,Sampdoria,2024-06-30,2017-07-01,,,SerieA
1558,Alessandro Zanoli,22,1.88,Italy,5.0,5.0,Defender - Right-Back,59,right,Sampdoria,2023-06-30,2023-01-07,Gea World,,SerieA
1559,Andrea Conti,29,1.84,Italy,0.6,18.0,Defender - Right-Back,13,right,Sampdoria,2025-06-30,2022-01-10,M.A.R.A.T. Football ...,,SerieA
1560,Harry Winks,27,1.78,England,12.0,40.0,midfield - Defensive Midfield,20,right,Sampdoria,2023-06-30,2022-08-30,CAA Stellar,adidas,SerieA
1561,Tomás Rincón,35,1.77,Venezuela,0.8,9.0,midfield - Defensive Midfield,8,right,Sampdoria,2023-06-30,2022-07-05,GG11,,SerieA
1562,Flavio Paoletti,20,1.82,Italy,0.8,0.8,midfield - Defensive Midfield,36,right,Sampdoria,2024-06-30,2023-01-02,Dream and Goal,,SerieA
1563,Gerard Yepes,20,1.7,Spain,0.5,0.5,midfield - Defensive Midfield,28,right,Sampdoria,2025-06-30,2022-07-01,Roberto Calenda,,SerieA
1564,Emirhan Ilkhan,18,1.75,Turkey,4.5,4.5,midfield - Central Midfield,26,right,Sampdoria,2023-06-30,2023-01-31,FutureBall,,SerieA
1565,Michaël Cuisance,23,1.81,France,3.5,12.0,midfield - Central Midfield,80,left,Sampdoria,2023-06-30,2023-01-30,YA'ATS SPORTS,adidas,SerieA
1566,Mehdi Léris,24,1.86,Algeria France,2.2,2.5,midfield - Right Midfield,37,right,Sampdoria,2024-06-30,2019-08-12,YOU FIRST,,SerieA
1567,Lorenzo Malagrida,19,1.74,Italy,0.25,0.25,midfield - Left Midfield,31,right,Sampdoria,2025-06-30,2022-07-01,Gea World,,SerieA
1568,Abdelhamid Sabiri,26,1.86,Morocco Germany,3.0,4.0,midfield - Attacking Midfield,11,right,Sampdoria,2023-06-30,2023-01-31,Amin Sakman,,SerieA
1569,Filip Djuricic,31,1.81,Serbia,2.5,10.0,midfield - Attacking Midfield,7,right,Sampdoria,2024-06-30,2022-08-01,GG11,,SerieA
1570,Jesé,30,1.78,Spain,2.0,15.0,Attack - Left Winger,99,right,Sampdoria,2023-06-30,2023-02-10,Relatives,Nike,SerieA
1571,Ignacio Pussetto,27,1.8,Argentina Italy,2.5,10.0,Attack - Right Winger,18,right,Sampdoria,2023-06-30,2022-09-01,MVP Group,,SerieA
1572,Manolo Gabbiadini,31,1.86,Italy,3.0,18.0,Attack - Centre-Forward,23,left,Sampdoria,2026-06-30,2019-01-11,BSP FOOTBALL AGENCY,,SerieA
1573,Manuel De Luca,24,1.92,Italy,2.5,3.0,Attack - Centre-Forward,9,both,Sampdoria,2025-06-30,2021-08-11,,,SerieA
1574,Sam Lammers,26,1.91,Netherlands,2.4,9.0,Attack - Centre-Forward,10,both,Sampdoria,2023-06-30,2023-01-02,ISM Int. Soccer ...,,SerieA
1575,Fabio Quagliarella,40,1.8,Italy,1.0,17.5,Attack - Centre-Forward,27,right,Sampdoria,2023-06-30,2016-07-01,AGB Sport Management,,SerieA
1576,Daniele Montevago,20,1.84,Italy,0.4,0.4,Attack - Centre-Forward,34,right,Sampdoria,2025-06-30,2022-10-28,,,SerieA
1577,Marco Carnesecchi,22,1.91,Italy,13.0,13.0,Goalkeeper,12,right,Cremonese,2023-06-30,2022-08-31,Italian Managers ...,Puma,Other
1578,Mouhamadou Sarr,26,1.9,Senegal Italy,0.25,0.25,Goalkeeper,45,right,Cremonese,,2021-08-27,Romano Eleven SAS,,Other
1579,Gianluca Saro,22,1.79,Italy,0.2,0.275,Goalkeeper,13,right,Cremonese,,2022-08-12,Starbridge Srl,,Other
1580,Dorian Ciezkowski,22,1.92,Poland,0.1,0.1,Goalkeeper,22,left,Cremonese,2023-06-30,2021-07-30,SSM Agency,,Other
1581,Johan Vásquez,24,1.84,Mexico,3.6,6.0,Defender - Centre-Back,5,left,Cremonese,2023-06-30,2022-07-01,VS Sinergia,Nike,Other
1582,Emanuel Aiwu,22,1.85,Austria,3.5,3.5,Defender - Centre-Back,4,right,Cremonese,2026-06-30,2022-08-05,Stars & Friends,Puma,Other
1583,Alex Ferrari,28,1.91,Italy,1.5,2.5,Defender - Centre-Back,24,right,Cremonese,2023-06-30,2023-01-02,Romano Eleven SAS,,Other
1584,Luka Lochoshvili,24,1.92,Georgia,1.5,1.5,Defender - Centre-Back,44,left,Cremonese,,2022-08-10,FA PLAYERS AGENTS,,Other
1585,Vlad Chiriches,33,1.84,Romania,1.3,11.0,Defender - Centre-Back,21,right,Cremonese,2023-06-30,2022-07-08,Pietro Chiodi ...,Nike,Other
1586,Matteo Bianchetti,30,1.89,Italy,0.8,1.4,Defender - Centre-Back,15,right,Cremonese,2025-06-30,2019-08-17,TMP SOCCER srl,Puma,Other
1587,Emanuele Valeri,24,1.8,Italy,3.5,3.5,Defender - Left-Back,3,left,Cremonese,2024-06-30,2020-09-10,Daniele Ferri,,Other
1588,Giacomo Quagliata,23,1.8,Italy,2.0,2.0,Defender - Left-Back,33,left,Cremonese,2026-06-30,2022-07-26,LP Manager,,Other
1589,Leonardo Sernicola,25,1.87,Italy,1.9,1.9,Defender - Right-Back,17,right,Cremonese,,2022-07-08,,,Other
1590,Paolo Ghiglione,26,1.91,Italy,1.6,4.0,Defender - Right-Back,18,right,Cremonese,2025-06-30,2022-07-17,TMP SOCCER srl,,Other
1591,Charles Pickel,26,1.87,Switzerland DR Congo,3.8,3.8,midfield - Defensive Midfield,6,right,Cremonese,2026-06-30,2022-07-22,P&P Sport ...,adidas,Other
1592,Pablo Galdames,26,1.76,Chile,2.0,3.1,midfield - Defensive Midfield,27,right,Cremonese,2023-06-30,2023-01-31,PW SOCCER ...,,Other
1593,Michele Castagnetti,33,1.8,Italy,0.7,1.0,midfield - Defensive Midfield,19,left,Cremonese,2024-06-30,2018-07-02,BC Group,,Other
1594,Soualiho Meïté,29,1.87,France Cote d'Ivoire,4.0,13.0,midfield - Central Midfield,28,right,Cremonese,2023-06-30,2022-09-01,VV Consulting,,Other
1595,Marco Benassi,28,1.84,Italy,1.5,20.0,midfield - Central Midfield,26,right,Cremonese,2023-06-30,2023-01-19,Romano Eleven SAS,,Other
1596,Christian Acella,20,,Italy,0.15,0.15,midfield - Central Midfield,23,right,Cremonese,,2021-07-01,FUTURA 2,,Other
1597,Cristian Buonaiuto,30,1.79,Italy,0.8,1.0,Attack - Left Winger,10,right,Cremonese,2024-06-30,2020-09-04,MM-Management,Nike,Other
1598,Cyriel Dessers,28,1.85,Nigeria Belgium,6.0,6.0,Attack - Centre-Forward,90,right,Cremonese,2027-06-30,2022-08-10,Stirr Associates,,Other
1599,Felix Afena-Gyan,20,1.75,Ghana,5.5,6.0,Attack - Centre-Forward,20,right,Cremonese,,2022-08-29,Arthurlegacy Sports ...,,Other
1600,David Okereke,25,1.81,Nigeria,4.3,11.0,Attack - Centre-Forward,77,right,Cremonese,2025-06-30,2022-07-28,Patrick Bastianelli,Nike,Other
1601,Frank Tsadjout,23,1.9,Italy Cameroon,1.2,1.2,Attack - Centre-Forward,74,left,Cremonese,2025-06-30,2022-07-15,Patrick Bastianelli,,Other
1602,Daniel Ciofani,37,1.91,Italy,0.2,1.5,Attack - Centre-Forward,9,right,Cremonese,2023-06-30,2019-08-09,,,Other
1603,Thibaut Courtois,31,2.0,Belgium,60.0,75.0,Goalkeeper,1,left,Real Madrid,2026-06-30,2018-08-09,Christophe Henrotay,Nike,LaLiga
1604,Andriy Lunin,24,1.91,Ukraine,5.0,8.5,Goalkeeper,13,right,Real Madrid,2024-06-30,2018-07-01,Relatives,Nike,LaLiga
1605,Luis López,22,1.93,Spain,0.3,0.3,Goalkeeper,1,left,RM Castilla,2023-06-30,2020-08-27,Best of You,adidas,Other
1606,Éder Militão,25,1.86,Brazil Spain,70.0,70.0,Defender - Centre-Back,3,right,Real Madrid,2025-06-30,2019-07-01,UJ Football Talent,adidas,LaLiga
1607,David Alaba,30,1.8,Austria,50.0,65.0,Defender - Centre-Back,4,left,Real Madrid,2026-06-30,2021-07-01,Relatives,adidas,LaLiga
1608,Antonio Rüdiger,30,1.9,Germany Sierra Leone,40.0,50.0,Defender - Centre-Back,22,right,Real Madrid,2026-06-30,2022-07-01,FSB – ...,Under Armour,LaLiga
1609,Nacho Fernández,33,1.8,Spain,6.0,35.0,Defender - Centre-Back,6,right,Real Madrid,2023-06-30,2012-09-01,Niagara Sports ...,,LaLiga
1610,Jesús Vallejo,26,1.84,Spain,2.0,15.0,Defender - Centre-Back,5,right,Real Madrid,2025-06-30,2015-07-31,,Nike,LaLiga
1611,Ferland Mendy,27,1.8,France Senegal,35.0,50.0,Defender - Left-Back,23,left,Real Madrid,2025-06-30,2019-07-01,FS Management,,LaLiga
1612,Daniel Carvajal,31,1.73,Spain,15.0,60.0,Defender - Right-Back,2,right,Real Madrid,2025-06-30,2013-07-01,Ginés Carvajal,Nike,LaLiga
1613,Lucas Vázquez,31,1.73,Spain,9.0,25.0,Defender - Right-Back,17,right,Real Madrid,2024-06-30,2015-07-02,AC Talent,adidas,LaLiga
1614,Álvaro Odriozola,27,1.76,Spain,5.0,30.0,Defender - Right-Back,16,right,Real Madrid,2024-06-30,2018-07-05,Best of You,adidas,LaLiga
1615,Aurélien Tchouaméni,23,1.88,France Cameroon,90.0,90.0,midfield - Defensive Midfield,18,right,Real Madrid,2028-06-30,2022-07-01,ESN,Nike,LaLiga
1616,Federico Valverde,24,1.82,Uruguay Spain,100.0,100.0,midfield - Central Midfield,15,right,Real Madrid,2027-06-30,2018-07-01,Wasserman,,LaLiga
1617,Eduardo Camavinga,20,1.82,France Congo,60.0,60.0,midfield - Central Midfield,12,left,Real Madrid,2027-06-30,2021-08-31,CAA Stellar,Nike,LaLiga
1618,Toni Kroos,33,1.83,Germany,18.0,80.0,midfield - Central Midfield,8,right,Real Madrid,2023-06-30,2014-07-17,Sports360 GmbH,adidas,LaLiga
1619,Dani Ceballos,26,1.79,Spain,12.0,45.0,midfield - Central Midfield,19,right,Real Madrid,2023-06-30,2017-07-14,Relatives,Nike,LaLiga
1620,Luka Modric,37,1.72,Croatia,10.0,55.0,midfield - Central Midfield,10,right,Real Madrid,2023-06-30,2012-08-27,Universal Twenty Two,Nike,LaLiga
1621,Vinicius Junior,22,1.76,Brazil Spain,120.0,120.0,Attack - Left Winger,20,right,Real Madrid,2024-06-30,2018-07-12,TFM Agency,Nike,LaLiga
1622,Eden Hazard,32,1.75,Belgium,5.0,150.0,Attack - Left Winger,7,right,Real Madrid,2024-06-30,2019-07-01,Relatives,Nike,LaLiga
1623,Rodrygo,22,1.74,Brazil Spain,80.0,80.0,Attack - Right Winger,21,right,Real Madrid,2025-06-30,2019-07-01,Un1que Football,Nike,LaLiga
1624,Marco Asensio,27,1.82,Spain Netherlands,25.0,90.0,Attack - Right Winger,11,left,Real Madrid,2023-06-30,2015-07-01,Gestifute,adidas,LaLiga
1625,Karim Benzema,35,1.85,France Algeria,35.0,60.0,Attack - Centre-Forward,9,right,Real Madrid,2023-06-30,2009-07-09,,adidas,LaLiga
1626,Álvaro Rodríguez,18,1.93,Uruguay Spain,6.0,6.0,Attack - Centre-Forward,20,left,RM Castilla,2027-06-30,2021-07-01,Footfeel ISM,,Other
1627,Mariano Díaz,29,1.8,Dominican Republic Spain,2.5,22.0,Attack - Centre-Forward,24,right,Real Madrid,2023-06-30,2018-08-29,YOU FIRST,,LaLiga
1628,Marc-André ter Stegen,31,1.87,Germany,40.0,90.0,Goalkeeper,1,right,Barcelona,2025-06-30,2014-07-01,ROOF,adidas,LaLiga
1629,Iñaki Peña,24,1.84,Spain,4.0,4.2,Goalkeeper,13,right,Barcelona,2026-06-30,2022-01-30,INTEGRAL ADVISING ...,Nike,LaLiga
1630,Arnau Tenas,21,1.85,Spain,2.0,2.0,Goalkeeper,1,right,Barça Atlètic,2023-06-30,2020-07-01,"Puyol, De la Peña ...",,Other
1631,Ronald Araújo,24,1.88,Uruguay Spain,70.0,70.0,Defender - Centre-Back,4,right,Barcelona,2026-06-30,2020-10-05,Excellence Sport,,LaLiga
1632,Jules Koundé,24,1.8,France Benin,60.0,60.0,Defender - Centre-Back,23,right,Barcelona,2027-06-30,2022-07-28,ESN,Puma,LaLiga
1633,Andreas Christensen,27,1.87,Denmark,30.0,40.0,Defender - Centre-Back,15,right,Barcelona,2026-06-30,2022-07-04,KIN Partners,adidas,LaLiga
1634,Eric García,22,1.82,Spain,12.0,20.0,Defender - Centre-Back,24,right,Barcelona,2026-06-30,2021-07-01,"Puyol, De la Peña ...",,LaLiga
1635,Alejandro Balde,19,1.75,Spain Dominican Republic,30.0,30.0,Defender - Left-Back,28,left,Barcelona,2024-06-30,2022-07-01,Gestifute,Nike,LaLiga
1636,Marcos Alonso,32,1.89,Spain,7.0,45.0,Defender - Left-Back,17,left,Barcelona,2024-06-30,2022-09-01,LIAN Sports Group,Nike,LaLiga
1637,Jordi Alba,34,1.7,Spain,5.0,70.0,Defender - Left-Back,18,left,Barcelona,2024-06-30,2012-07-01,InterStarDeporte,adidas,LaLiga
1638,Sergi Roberto,31,1.78,Spain,6.0,60.0,Defender - Right-Back,20,right,Barcelona,2024-06-30,2013-07-01,TACTIC GRUP - ...,Nike,LaLiga
1639,Sergio Busquets,34,1.89,Spain,5.0,80.0,midfield - Defensive Midfield,5,right,Barcelona,2023-06-30,2008-07-01,TACTIC GRUP - ...,Nike,LaLiga
1640,Pedri,20,1.74,Spain,100.0,100.0,midfield - Central Midfield,8,right,Barcelona,2026-06-30,2019-09-02,LEADERBROCK,adidas,LaLiga
1641,Gavi,18,1.73,Spain,90.0,90.0,midfield - Central Midfield,30,right,Barcelona,,2021-07-01,"Puyol, De la Peña ...",Nike,LaLiga
1642,Frenkie de Jong,26,1.81,Netherlands,60.0,90.0,midfield - Central Midfield,21,right,Barcelona,2026-06-30,2019-07-01,HCM Sports ...,Nike,LaLiga
1643,Franck Kessié,26,1.83,Cote d'Ivoire Italy,28.0,55.0,midfield - Central Midfield,19,right,Barcelona,2026-06-30,2022-07-04,Ambition Group,Nike,LaLiga
1644,Pablo Torre,20,1.73,Spain,3.0,3.0,midfield - Central Midfield,32,right,Barcelona,2026-06-30,2022-07-01,AC Talent,adidas,LaLiga
1645,Ansu Fati,20,1.78,Spain Guinea-Bissau,35.0,80.0,Attack - Left Winger,10,right,Barcelona,2027-06-30,2020-09-23,Relatives,Nike,LaLiga
1646,Ferran Torres,23,1.82,Spain,30.0,50.0,Attack - Left Winger,11,right,Barcelona,2027-06-30,2022-01-01,LEADERBROCK,adidas,LaLiga
1647,Ousmane Dembélé,26,1.78,France,60.0,120.0,Attack - Right Winger,7,both,Barcelona,2024-06-30,2017-08-25,Relatives,Nike,LaLiga
1648,Raphinha,26,1.76,Brazil Italy,50.0,50.0,Attack - Right Winger,22,left,Barcelona,2027-06-30,2022-07-13,D20 Sports,adidas,LaLiga
1649,Robert Lewandowski,34,1.85,Poland,40.0,90.0,Attack - Centre-Forward,9,right,Barcelona,2026-06-30,2022-07-19,Gol International,Nike,LaLiga
1650,Jan Oblak,30,1.88,Slovenia,40.0,100.0,Goalkeeper,13,right,Atlético Madrid,2028-06-30,2014-07-16,Miha Mlakar,Puma,LaLiga
1651,Ivo Grbic,27,1.95,Croatia,3.5,7.0,Goalkeeper,1,right,Atlético Madrid,2024-06-30,2020-08-20,Niagara Sports ...,,LaLiga
1652,José María Giménez,28,1.85,Uruguay Spain,35.0,70.0,Defender - Centre-Back,2,right,Atlético Madrid,2025-06-30,2013-04-25,VIDA 11,Nike,LaLiga
1653,Mario Hermoso,27,1.84,Spain,18.0,35.0,Defender - Centre-Back,22,left,Atlético Madrid,2024-06-30,2019-07-18,Gesport Espizua SL,,LaLiga
1654,Stefan Savic,32,1.87,Montenegro Serbia,7.5,40.0,Defender - Centre-Back,15,right,Atlético Madrid,2024-06-30,2015-07-20,Zarko Pelicic,,LaLiga
1655,Reinildo Mandava,29,1.8,Mozambique,25.0,25.0,Defender - Left-Back,23,left,Atlético Madrid,2025-06-30,2022-01-31,Blueprivate ...,,LaLiga
1656,Sergio Reguilón,26,1.78,Spain,15.0,28.0,Defender - Left-Back,3,left,Atlético Madrid,2023-06-30,2022-08-30,Sports Invest UK ltd,,LaLiga
1657,Nahuel Molina,25,1.75,Argentina,24.0,24.0,Defender - Right-Back,16,right,Atlético Madrid,2027-06-30,2022-07-28,,,LaLiga
1658,Matt Doherty,31,1.85,Ireland,9.0,20.0,Defender - Right-Back,12,right,Atlético Madrid,2023-06-30,2023-01-31,Gestifute,Nike,LaLiga
